method,metric,value
mobj,categorical proximity,3.888888888888889
mobj,continuous proximity,0.20744330562697663
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0011912530619573704
mobj,target valid,1.0
mobj,categorical proximity,3.904109589041096
mobj,continuous proximity,0.20663981605480036
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,1.904804933369059e-05
mobj,target valid,1.0
mobj,categorical proximity,3.918918918918919
mobj,continuous proximity,0.208290150384003
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.00010580545067254047
mobj,target valid,1.0
mobj,categorical proximity,3.933333333333333
mobj,continuous proximity,0.20772774443093062
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.000868610078460247
mobj,target valid,1.0
mobj,categorical proximity,3.9342105263157894
mobj,continuous proximity,0.2085005139474678
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0008864161342735761
mobj,target valid,1.0
mobj,categorical proximity,3.9220779220779223
mobj,continuous proximity,0.20873043199310307
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,1.4687722872995058e-05
mobj,target valid,1.0
mobj,categorical proximity,3.923076923076923
mobj,continuous proximity,0.20850561917788119
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,4.1375730566359005e-05
mobj,target valid,1.0
mobj,categorical proximity,3.911392405063291
mobj,continuous proximity,0.2092704097191675
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,1.3322930350645263e-05
mobj,target valid,1.0
mobj,categorical proximity,3.9125
mobj,continuous proximity,0.20984638546593076
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0007378584795338165
mobj,target valid,1.0
mobj,categorical proximity,3.925925925925926
mobj,continuous proximity,0.2107291133693175
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0008748558102534206
mobj,target valid,1.0
mobj,categorical proximity,3.926829268292683
mobj,continuous proximity,0.21218728476885243
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0007185307835926409
mobj,target valid,1.0
mobj,categorical proximity,3.927710843373494
mobj,continuous proximity,0.2127309585509307
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0006849181933192659
mobj,target valid,1.0
mobj,categorical proximity,3.9404761904761907
mobj,continuous proximity,0.21289865241374656
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0037287141936248403
mobj,target valid,1.0
mobj,categorical proximity,3.929411764705882
mobj,continuous proximity,0.2118793929418876
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0029495845344712167
mobj,target valid,1.0
mobj,categorical proximity,3.9186046511627906
mobj,continuous proximity,0.21055650788915758
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0014976354353206855
mobj,target valid,1.0
mobj,categorical proximity,3.9195402298850577
mobj,continuous proximity,0.21140730019082887
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0012631809472800205
mobj,target valid,1.0
mobj,categorical proximity,3.9318181818181817
mobj,continuous proximity,0.2115555263429602
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,1.4348611346246166e-05
mobj,target valid,1.0
mobj,categorical proximity,3.9213483146067416
mobj,continuous proximity,0.2110317726293219
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.006744653977911673
mobj,target valid,1.0
mobj,categorical proximity,3.922222222222222
mobj,continuous proximity,0.20977565309980786
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,9.420366205838033e-06
mobj,target valid,1.0
mobj,categorical proximity,3.934065934065934
mobj,continuous proximity,0.21012359785505821
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.004204610044013425
mobj,target valid,1.0
mobj,categorical proximity,3.9347826086956523
mobj,continuous proximity,0.2119466718868138
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,2.2996030803520865e-05
mobj,target valid,1.0
mobj,categorical proximity,3.946236559139785
mobj,continuous proximity,0.2119171683313517
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,2.5798529427642456e-05
mobj,target valid,1.0
mobj,categorical proximity,3.9468085106382977
mobj,continuous proximity,0.2120552742850267
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0006745031723780151
mobj,target valid,1.0
mobj,categorical proximity,3.9368421052631577
mobj,continuous proximity,0.21233098106089562
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,4.6836030631407496e-05
mobj,target valid,1.0
mobj,categorical proximity,3.9270833333333335
mobj,continuous proximity,0.2118611366379777
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.003865284621398511
mobj,target valid,1.0
mobj,categorical proximity,3.9278350515463916
mobj,continuous proximity,0.21173249183225915
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0
mobj,target valid,1.0
mobj,categorical proximity,3.9183673469387754
mobj,continuous proximity,0.21272575757773476
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0011427963757337939
mobj,target valid,1.0
mobj,categorical proximity,3.9292929292929295
mobj,continuous proximity,0.2139637174240851
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,4.4677888340208935e-05
mobj,target valid,1.0
mobj,categorical proximity,3.92
mobj,continuous proximity,0.2147901012191712
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.003192732236657286
mobj,target valid,1.0
mobj,categorical proximity,3.9207920792079207
mobj,continuous proximity,0.2138757350327547
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,7.415679397911326e-06
mobj,target valid,1.0
mobj,categorical proximity,3.911764705882353
mobj,continuous proximity,0.21383400381297366
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0026320358382132575
mobj,target valid,1.0
mobj,categorical proximity,3.912621359223301
mobj,continuous proximity,0.2122283439246819
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0006157806125590419
mobj,target valid,1.0
mobj,categorical proximity,3.9038461538461537
mobj,continuous proximity,0.2118117716265973
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0008794330916399625
mobj,target valid,1.0
mobj,categorical proximity,3.914285714285714
mobj,continuous proximity,0.21249208396557484
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0010227322156512602
mobj,target valid,1.0
mobj,categorical proximity,3.9056603773584904
mobj,continuous proximity,0.21314554852753628
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,2.49967448364781e-05
mobj,target valid,1.0
mobj,categorical proximity,3.9065420560747666
mobj,continuous proximity,0.2117398372854318
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0019154564262753755
mobj,target valid,1.0
mobj,categorical proximity,3.9074074074074074
mobj,continuous proximity,0.21026089266333978
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.002734099814824123
mobj,target valid,1.0
mobj,categorical proximity,3.8990825688073394
mobj,continuous proximity,0.20890761525769158
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,4.8717181660703e-05
mobj,target valid,1.0
mobj,categorical proximity,3.9
mobj,continuous proximity,0.21041665854183872
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0005582496402831323
mobj,target valid,1.0
mobj,categorical proximity,3.891891891891892
mobj,continuous proximity,0.20897098670094
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.0007053011133806544
mobj,target valid,1.0
mobj,categorical proximity,3.9017857142857144
mobj,continuous proximity,0.20863397328634678
mobj,causal validity,1.0
mobj,IM1,
mobj,IM2,0.001796231904824652
