method,metric,value
mobj,IM1,0.04586030491215886
mobj,IM2,0.0010544421301866534
mobj,target valid,1.0
mobj,continuous proximity,0.09283435729493693
mobj,causal validity,0.46296296296296297
mobj,IM1,0.045072236241152426
mobj,IM2,0.001309455122168055
mobj,target valid,1.0
mobj,continuous proximity,0.09291418911492678
mobj,causal validity,0.45454545454545453
mobj,IM1,0.04815974501436144
mobj,IM2,0.0010418762467082916
mobj,target valid,1.0
mobj,continuous proximity,0.09273722635824405
mobj,causal validity,0.44642857142857145
mobj,IM1,0.045005151325504825
mobj,IM2,0.0008495405791062484
mobj,target valid,1.0
mobj,continuous proximity,0.09259679163765172
mobj,causal validity,0.43859649122807015
mobj,IM1,0.04374570049379963
mobj,IM2,0.000665761782040714
mobj,target valid,1.0
mobj,continuous proximity,0.09296906543734149
mobj,causal validity,0.4482758620689655
mobj,IM1,0.057725245033135746
mobj,IM2,0.0007855710582131509
mobj,target valid,1.0
mobj,continuous proximity,0.09300507892999202
mobj,causal validity,0.4576271186440678
mobj,IM1,0.04412135926349047
mobj,IM2,0.0007086485444964753
mobj,target valid,1.0
mobj,continuous proximity,0.09297718581132816
mobj,causal validity,0.45
mobj,IM1,0.04351767567646361
mobj,IM2,0.0006892217236560024
mobj,target valid,1.0
mobj,continuous proximity,0.0928695707655596
mobj,causal validity,0.4426229508196721
mobj,IM1,0.04077759976408508
mobj,IM2,0.0006997817382890443
mobj,target valid,1.0
mobj,continuous proximity,0.09276794188374717
mobj,causal validity,0.43548387096774194
mobj,IM1,0.041283113148385925
mobj,IM2,0.0008516974356266123
mobj,target valid,1.0
mobj,continuous proximity,0.09370213567834304
mobj,causal validity,0.42857142857142855
mobj,IM1,0.054688912069456044
mobj,IM2,0.0014355259556078166
mobj,target valid,1.0
mobj,continuous proximity,0.09412453485828116
mobj,causal validity,0.421875
mobj,IM1,0.034744523386404484
mobj,IM2,0.0007729063972114325
mobj,target valid,1.0
mobj,continuous proximity,0.09438592939512715
mobj,causal validity,0.4307692307692308
mobj,IM1,0.03436479510443389
mobj,IM2,0.0008316030778087687
mobj,target valid,1.0
mobj,continuous proximity,0.09519519340258117
mobj,causal validity,0.4393939393939394
mobj,IM1,0.03477104727402747
mobj,IM2,0.0007695885094103549
mobj,target valid,1.0
mobj,continuous proximity,0.09541623464542406
mobj,causal validity,0.43283582089552236
mobj,IM1,0.03478960499836489
mobj,IM2,0.0012451951357970647
mobj,target valid,1.0
mobj,continuous proximity,0.09504601797137205
mobj,causal validity,0.4264705882352941
mobj,IM1,0.033845497432556326
mobj,IM2,0.000718135993783958
mobj,target valid,1.0
mobj,continuous proximity,0.09498307911010889
mobj,causal validity,0.42028985507246375
mobj,IM1,0.041519985081546286
mobj,IM2,0.0005377996497071505
mobj,target valid,1.0
mobj,continuous proximity,0.09538553021759694
mobj,causal validity,0.4142857142857143
mobj,IM1,0.036233911776647615
mobj,IM2,0.000951502562925428
mobj,target valid,1.0
mobj,continuous proximity,0.09549104806181787
mobj,causal validity,0.4084507042253521
mobj,IM1,0.039460173266673226
mobj,IM2,0.0006072230170665319
mobj,target valid,1.0
mobj,continuous proximity,0.09559809039801824
